book_id,title,category,page_count,webp_prefix,source_relative_path,meta_source,author,dynasty,pub_year,publisher,edition_type,pub_place
bmtz,八闽通志.八十七卷.明.陈道.黃仲昭等纂.明弘治四年刊本,经史子集,2480,book/bmtz/,,rule,,明,,,刻本,闽
bnbes_3918461c,百衲本二十四史 汉书06,百衲本二十四史,171,book/bnbes_3918461c/,,catalog,班固,汉,,,,
bnbes_39ec4dc1,百衲本二十四史 宋书23,百衲本二十四史,131,book/bnbes_39ec4dc1/,,catalog,沈约,南朝,,,,
bnbes_418b80dc,百衲本二十四史 舊五代史10,百衲本二十四史,181,book/bnbes_418b80dc/,,catalog,薛居正等,宋,,,,
bnbes_488c6f89,百衲本二十四史 宋史017,百衲本二十四史,145,book/bnbes_488c6f89/,,catalog,脱脱等,元,,,,
bnbes_48d6582b,百衲本二十四史 三國志07魏书,百衲本二十四史,137,book/bnbes_48d6582b/,,catalog,陈寿,晋,,,,
bnbes_490a7094,百衲本二十四史 南史08,百衲本二十四史,159,book/bnbes_490a7094/,,catalog,李延寿,唐,,,,
bnbes_493ba56c,百衲本二十四史 舊唐书33,百衲本二十四史,177,book/bnbes_493ba56c/,,catalog,刘昫等,五代,,,,
bnbes_499f1ab2,百衲本二十四史 梁书07,百衲本二十四史,130,book/bnbes_499f1ab2/,,catalog,姚思廉,唐,,,,
bnbes_4a1aa840,百衲本二十四史 明史013,百衲本二十四史,150,book/bnbes_4a1aa840/,,catalog,张廷玉等,清,,,,
bnbes_4a1f58db,百衲本二十四史 南史01,百衲本二十四史,172,book/bnbes_4a1f58db/,,catalog,李延寿,唐,,,,
bnbes_4a8c9c38,百衲本二十四史 金史31,百衲本二十四史,157,book/bnbes_4a8c9c38/,,catalog,脱脱等,元,,,,
bnbes_4a9c0d8d,百衲本二十四史 明史088,百衲本二十四史,157,book/bnbes_4a9c0d8d/,,catalog,张廷玉等,清,,,,
bnbes_4b36c5eb,百衲本二十四史 元史21,百衲本二十四史,232,book/bnbes_4b36c5eb/,,catalog,宋濂等,明,,,,
bnbes_4b80e54e,百衲本二十四史 后汉书09,百衲本二十四史,180,book/bnbes_4b80e54e/,,catalog,范晔,南朝,,,,
bnbes_4b902d7a,百衲本二十四史 宋史024,百衲本二十四史,171,book/bnbes_4b902d7a/,,catalog,脱脱等,元,,,,
bnbes_4c11cd74,百衲本二十四史 宋史078,百衲本二十四史,154,book/bnbes_4c11cd74/,,catalog,脱脱等,元,,,,
bnbes_604b2a2e,百衲本二十四史 后汉书33,百衲本二十四史,162,book/bnbes_604b2a2e/,,catalog,范晔,南朝,,,,
bnbes_61022fae,百衲本二十四史 南齐书12,百衲本二十四史,156,book/bnbes_61022fae/,,catalog,萧子显,南朝,,,,
bnbes_616bbc3c,百衲本二十四史 舊唐书07,百衲本二十四史,175,book/bnbes_616bbc3c/,,catalog,刘昫等,五代,,,,
bnbes_66f8325f,百衲本二十四史 元史16,百衲本二十四史,214,book/bnbes_66f8325f/,,catalog,宋濂等,明,,,,
bnbes_67fd7477,百衲本二十四史 后汉书21,百衲本二十四史,130,book/bnbes_67fd7477/,,catalog,范晔,南朝,,,,
bnbes_681dd6d7,百衲本二十四史 后汉书03,百衲本二十四史,181,book/bnbes_681dd6d7/,,catalog,范晔,南朝,,,,
bnbes_699b566e,百衲本二十四史 舊唐书27,百衲本二十四史,160,book/bnbes_699b566e/,,catalog,刘昫等,五代,,,,
bnbes_6ddb5dcb,百衲本二十四史 舊唐书30,百衲本二十四史,188,book/bnbes_6ddb5dcb/,,catalog,刘昫等,五代,,,,
bnbes_6e4ebccf,百衲本二十四史 舊五代史11,百衲本二十四史,189,book/bnbes_6e4ebccf/,,catalog,薛居正等,宋,,,,
bnbes_6f03ae84,百衲本二十四史 宋史063,百衲本二十四史,206,book/bnbes_6f03ae84/,,catalog,脱脱等,元,,,,
bnbes_7dcad7ff,百衲本二十四史 宋史088,百衲本二十四史,179,book/bnbes_7dcad7ff/,,catalog,脱脱等,元,,,,
bnbes_7eecaaf4,百衲本二十四史 宋史093,百衲本二十四史,155,book/bnbes_7eecaaf4/,,catalog,脱脱等,元,,,,
bnbes_7efad99f,百衲本二十四史 三國志04魏书,百衲本二十四史,129,book/bnbes_7efad99f/,,catalog,陈寿,晋,,,,
bnbes_7f219590,百衲本二十四史 魏书10,百衲本二十四史,148,book/bnbes_7f219590/,,catalog,魏收,北朝,,,,
bnbes_808c20b9,百衲本二十四史 明史025,百衲本二十四史,179,book/bnbes_808c20b9/,,catalog,张廷玉等,清,,,,
bnbes_80ae0dd0,百衲本二十四史 汉书09,百衲本二十四史,172,book/bnbes_80ae0dd0/,,catalog,班固,汉,,,,
bnbes_80de7f1d,百衲本二十四史 五代史记07,百衲本二十四史,119,book/bnbes_80de7f1d/,,rule,,汉,,,,
bnbes_812e8786,百衲本二十四史 舊五代史12,百衲本二十四史,145,book/bnbes_812e8786/,,catalog,薛居正等,宋,,,,
bnbes_81922b08,百衲本二十四史 宋史101,百衲本二十四史,149,book/bnbes_81922b08/,,catalog,脱脱等,元,,,,
bnbes_81b06010,百衲本二十四史 宋书11,百衲本二十四史,166,book/bnbes_81b06010/,,catalog,沈约,南朝,,,,
bnbes_82cb3ee6,百衲本二十四史 宋史021,百衲本二十四史,176,book/bnbes_82cb3ee6/,,catalog,脱脱等,元,,,,
bnbes_82dcacc6,百衲本二十四史 宋史135,百衲本二十四史,186,book/bnbes_82dcacc6/,,catalog,脱脱等,元,,,,
bnbes_8306153b,百衲本二十四史 舊唐书04,百衲本二十四史,167,book/bnbes_8306153b/,,catalog,刘昫等,五代,,,,
bnbes_838df3a6,百衲本二十四史 北史12,百衲本二十四史,166,book/bnbes_838df3a6/,,catalog,李延寿,唐,,,,
bnbes_839c741b,百衲本二十四史 宋史091,百衲本二十四史,176,book/bnbes_839c741b/,,catalog,脱脱等,元,,,,
bnbes_83b9f45f,百衲本二十四史 梁书14,百衲本二十四史,108,book/bnbes_83b9f45f/,,catalog,姚思廉,唐,,,,
bnbes_83d5da78,百衲本二十四史 辽史02,百衲本二十四史,149,book/bnbes_83d5da78/,,catalog,脱脱等,元,,,,
bnbes_84a9ab44,百衲本二十四史 北史19,百衲本二十四史,183,book/bnbes_84a9ab44/,,catalog,李延寿,唐,,,,
bnbes_8564b3d5,百衲本二十四史 宋史081,百衲本二十四史,187,book/bnbes_8564b3d5/,,catalog,脱脱等,元,,,,
bnbes_85b40943,百衲本二十四史 魏书06,百衲本二十四史,138,book/bnbes_85b40943/,,catalog,魏收,北朝,,,,
bnbes_85cd6e24,百衲本二十四史 汉书12,百衲本二十四史,157,book/bnbes_85cd6e24/,,catalog,班固,汉,,,,
bnbes_8645f35b,百衲本二十四史 宋史108,百衲本二十四史,154,book/bnbes_8645f35b/,,catalog,脱脱等,元,,,,
bnbes_869125dc,百衲本二十四史 舊唐书10,百衲本二十四史,161,book/bnbes_869125dc/,,catalog,刘昫等,五代,,,,
bnbes_869a40f3,百衲本二十四史 元史01,百衲本二十四史,159,book/bnbes_869a40f3/,,catalog,宋濂等,明,,,,
bnbes_8715d07f,百衲本二十四史 明史021,百衲本二十四史,149,book/bnbes_8715d07f/,,catalog,张廷玉等,清,,,,
bnbes_879a1ba6,百衲本二十四史 元史02,百衲本二十四史,242,book/bnbes_879a1ba6/,,catalog,宋濂等,明,,,,
bnbes_888c8134,百衲本二十四史 明史095,百衲本二十四史,141,book/bnbes_888c8134/,,catalog,张廷玉等,清,,,,
bnbes_898bc053,百衲本二十四史 金史27,百衲本二十四史,167,book/bnbes_898bc053/,,catalog,脱脱等,元,,,,
bnbes_8a1b713c,百衲本二十四史 魏书47,百衲本二十四史,154,book/bnbes_8a1b713c/,,catalog,魏收,北朝,,,,
bnbes_8a4adf92,百衲本二十四史 魏书04,百衲本二十四史,149,book/bnbes_8a4adf92/,,catalog,魏收,北朝,,,,
bnbes_8a7fc88d,百衲本二十四史 南史15,百衲本二十四史,137,book/bnbes_8a7fc88d/,,catalog,李延寿,唐,,,,
bnbes_8a935cb8,百衲本二十四史 金史24,百衲本二十四史,155,book/bnbes_8a935cb8/,,catalog,脱脱等,元,,,,
bnbes_8aaed257,百衲本二十四史 魏书01,百衲本二十四史,109,book/bnbes_8aaed257/,,catalog,魏收,北朝,,,,
bnbes_8b10cc8e,百衲本二十四史 明史096,百衲本二十四史,141,book/bnbes_8b10cc8e/,,catalog,张廷玉等,清,,,,
bnbes_8b12992d,百衲本二十四史 梁书03,百衲本二十四史,135,book/bnbes_8b12992d/,,catalog,姚思廉,唐,,,,
