book_id,book_title,library_final,collection,req_no,part,old_page_count,pan_dir_id_status,bucket,webp_status,webp_prefix,source_url,source_root,source_relative_path,author
306-0270-14,茶書 冊14 日本·國立公文書館 館藏 子306-0270,日本·國立公文書館,overseas_guji,子306-0270,子部,4,空,C_123无映射,done,naj/306-0270-14/,https://www.digital.archives.go.jp/api/iiif/3610931/manifest.json,lineb,lineb/306-0270-14,著者:陳継儒（明）
306-0270-18,茶書 冊18 日本·國立公文書館 館藏 子306-0270,日本·國立公文書館,overseas_guji,子306-0270,子部,5,空,C_123无映射,done,naj/306-0270-18/,https://www.digital.archives.go.jp/api/iiif/3610912/manifest.json,lineb,lineb/306-0270-18,著者:陳師（明）
309-0117-03,虞初志 冊03 日本·國立公文書館 館藏 子309-0117,日本·國立公文書館,overseas_guji,子309-0117,子部,3,空,C_123无映射,done,naj/309-0117-03/,https://www.digital.archives.go.jp/api/iiif/3610599/manifest.json,lineb,lineb/309-0117-03,著者:韋壮（唐）
309-0117-06,虞初志 冊06 日本·國立公文書館 館藏 子309-0117,日本·國立公文書館,overseas_guji,子309-0117,子部,5,空,C_123无映射,done,naj/309-0117-06/,https://www.digital.archives.go.jp/api/iiif/3610578/manifest.json,lineb,lineb/309-0117-06,著者:楊巨源（唐）
309-0117-11,虞初志 冊11 日本·國立公文書館 館藏 子309-0117,日本·國立公文書館,overseas_guji,子309-0117,子部,4,空,C_123无映射,done,naj/309-0117-11/,https://www.digital.archives.go.jp/api/iiif/3610598/manifest.json,lineb,lineb/309-0117-11,著者:李泌（唐）
309-0117-15,虞初志 冊15 日本·國立公文書館 館藏 子309-0117,日本·國立公文書館,overseas_guji,子309-0117,子部,5,空,C_123无映射,done,naj/309-0117-15/,https://www.digital.archives.go.jp/api/iiif/3610628/manifest.json,lineb,lineb/309-0117-15,著者:王建（唐）
309-0117-19,虞初志 冊19 日本·國立公文書館 館藏 子309-0117,日本·國立公文書館,overseas_guji,子309-0117,子部,3,空,C_123无映射,done,naj/309-0117-19/,https://www.digital.archives.go.jp/api/iiif/3610580/manifest.json,lineb,lineb/309-0117-19,著者:李羣玉（唐）
309-0117-28,虞初志 冊28 日本·國立公文書館 館藏 子309-0117,日本·國立公文書館,overseas_guji,子309-0117,子部,4,空,C_123无映射,done,naj/309-0117-28/,https://www.digital.archives.go.jp/api/iiif/3610600/manifest.json,lineb,lineb/309-0117-28,著者:朱慶余（唐）
bie037-0001-01,朝鮮國禮曹參議李拭奉復對馬州太守平朝臣宗公書 冊01 日本·國立公文書館 館藏 別037-0001,日本·國立公文書館,overseas_guji,別037-0001,史部,4,空,C_123无映射,done,naj/bie037-0001-01/,https://www.digital.archives.go.jp/api/iiif/1592664.json,naikaku,naikaku/bie037-0001-01,
dhyfs_2,敦煌医方书,本地已合并古籍(非航母IIIF线·B盘 123bak/古籍-海外遗失版本/医书类),overseas,,,4,空,C_123无映射,done,gufang/dhyfs_2/,,B:/123bak/古籍-海外遗失版本/医书类,敦煌医方书.pdf,
essf,二十四方,本地已合并古籍(非航母IIIF线·B盘 123bak/珍贵古籍善本/海外藏馆回流),overseas,,,5,空,C_123无映射,done,gufang/essf/,,B:/123bak/珍贵古籍善本/海外藏馆回流/已合并,二十四方.pdf,
fuji-RB00000937,英吉利国種痘奇書 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,イ/120,,5,有(但页数不足),B_123有残件不足,done,book/fuji-RB00000937/,,fujikawa,fujikawa/fuji-RB00000937,伊藤圭介校
fuji-RB00000958,池田家秘書 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,イ/131,,6,有(但页数不足),B_123有残件不足,done,book/fuji-RB00000958/,,fujikawa,fujikawa/fuji-RB00000958,
fuji-RB00000963,医源 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,テ/8,,6,有(但页数不足),B_123有残件不足,done,book/fuji-RB00000963/,,fujikawa,fujikawa/fuji-RB00000963,石坂宗哲著
fuji-RB00001003,医師の来る迄 3巻 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,イ/166,,4,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001003/,,fujikawa,fujikawa/fuji-RB00001003,(英)ホ-プ著・(米)イ-増補改訂 楢林建三郎訳
fuji-RB00001028,医書抜書 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,イ/184,,5,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001028/,,fujikawa,fujikawa/fuji-RB00001028,
fuji-RB00001046,医聖方格 5巻 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,イ/200,,4,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001046/,,fujikawa,fujikawa/fuji-RB00001046,能条玄長(保庵)編述・岩松良碩校正
fuji-RB00001047,医説 10巻 存巻1-8 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,イ/201,,4,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001047/,,fujikawa,fujikawa/fuji-RB00001047,(宋)張杲(季明)撰
fuji-RB00001055,医宗粋言 14巻(第2巻欠) 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,イ/212,,6,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001055/,,fujikawa,fujikawa/fuji-RB00001055,(明)羅周彦編
fuji-RB00001057,医宗仲景考 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,イ/214,,6,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001057/,,fujikawa,fujikawa/fuji-RB00001057,平田篤胤著
fuji-RB00001096,一夕医話 3巻 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,イ/236,,6,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001096/,,fujikawa,fujikawa/fuji-RB00001096,平野元良(重誠)著
